孤胆特工 아저씨,碟中谍4,,,,,,
杀死比尔2,落水狗,罪恶之城,金刚不坏,危险关系,疾速追杀,,
微不足道,,,,,,,
空中监狱 Con Air,生死时速,极速60秒,虎胆龙威4,断箭,,,
唐人街 Chinatown,第三人,西北偏北,M就是凶手,电话谋杀案,后窗,,
黑社会,放·逐,跟踪,无间道2,,,,
天才瑞普利 The Talented Mr. Ripley,非常嫌疑犯,追随,,,,,
非常嫌疑犯,天才瑞普利,十一罗汉,老无所依,,,,
门徒,新上海滩,,,,,,
疤面煞星 Scarface,情枭的黎明,落水狗,黑社会,,,,
蒙太奇 몽타주,追击者,不可饶恕,走到尽头,目击者之追凶,,,
老无所依,,,,,,,
生死时速 Speed,断箭,虎胆龙威,碟中谍,007之黄金眼,,,
官方机密,,,,,,,
杀死比尔2 Kill Bill: Vol. 2,杀死比尔,罪恶之城,落水狗,碟中谍,,,
双重赔偿 Double Indemnity,第三人,电话谋杀案,M就是凶手,西北偏北,火车怪客,历劫佳人,后窗
龙纹身的女孩 The Girl with the Dragon Tattoo,非常嫌疑犯,追随,,,,,
罗拉快跑 Lola rennt,,,,,,,
杀手 The Killing,杀手之吻,恶汉甜梦,,,,,
铁雨,,,,,,,
警察故事,,,,,,,
喋血街头 喋血街頭,黑社会,放·逐,,,,,
非常嫌疑犯,追随,,,,,,
狗咬狗,门徒,黑社会2：以和为贵,放·逐,,,,
杀手,,,,,,,
迫在眉梢 John Q,训练日,,,,,,
虎胆龙威 Die Hard,虎胆龙威2,生死时速,碟中谍,007之黄金眼,断箭,,
碟中谍6：全面瓦解,,,,,,,
微不足道,,,,,,,
未麻的部屋,,,,,,,
门徒 門徒,黑社会,无间道3：终极无间,,,,,
大佬 Brother,黑社会,疤面煞星,情枭的黎明,,,,
虎胆龙威4,碟中谍3,,,,,,
局内人 내부자들,卑劣的街头,追击者,不当交易,蒙太奇,,,
夜行者,非常嫌疑犯,追随,,,,,
电话谋杀案,死亡约会,,,,,,
杀手,通往绞刑架的电梯,冷酷祭典,,,,,
情枭的黎明,疤面煞星,铁面无私,黑社会,,,,
微不足道 Big Nothing,,,,,,,
末路狂花,追击者,夜行者,天才瑞普利,金福南杀人事件始末,,,
抢钱大作战,老无所依,十一罗汉,,,,,
不良教育 La mala educación,,,,,,,
非常嫌疑犯,十一罗汉,偷天换日,剑鱼行动,,,,
突袭,疾速追杀3,伸冤人,,,,,
处刑人 The Boondock Saints,罪恶之城,落水狗,怒火攻心,,,,
末路狂花,,,,,,,
后窗,,,,,,,
边境杀手,老无所依,冰血暴,夜行者,恐袭波士顿,,,
碟中谍3,金蝉脱壳,,,,,,
卑劣的街头 비열한 거리,黑社会,,,,,,
胜者为王,黑社会,,,,,,
蒙太奇,追击者,孟买酒店,,,,,
走到尽头 끝까지 간다,蒙太奇,追击者,不可饶恕,不当交易,我是杀人犯,,
末路狂花,血钻,,,,,,
烈焰焚币 Plata quemada,,,,,,,
碟中谍3,,,,,,,
狙击电话亭 Phone Booth,非常嫌疑犯,,,,,,
冰血暴 Fargo,老无所依,落水狗,末路狂花,,,,
十一罗汉 Ocean's Eleven,十三罗汉,十二罗汉,偷天换日,剑鱼行动,,,
孟买酒店,小丑,,,,,,
疾速追杀3 John Wick: Chapter 3 - Parabellum,疾速追杀2,惊天营救,伸冤人,碟中谍5：神秘国度,安娜,突袭,
训练日 Training Day,借刀杀人,剑鱼行动,偷天换日,十一罗汉,,,
夺魂索 Rope,火车怪客,电话谋杀案,西北偏北,三十九级台阶,后窗,,
少数派报告 Minority Report,,,,,,,
续命之徒：绝命毒师电影 El Camino: A Breaking Bad Movie,老无所依,小丑,孟买酒店,,,,
杀手,,,,,,,
老无所依,恐袭波士顿,,,,,,
新警察故事,门徒,,,,,,
催眠大师,金蝉脱壳,,,,,,
恶汉甜梦,杀手,男人的争斗,红圈,,,,
黑社会,,,,,,,
罪恶之城,末路狂花,落水狗,杀死比尔,金刚不坏,,,
大佬,,,,,,,
跟踪,,,,,,,
黑社会,龙在边缘,,,,,,
疾速追杀2 John Wick: Chapter 2,疾速追杀3,碟中谍3,伸冤人,突袭,会计刺客,边境杀手,安娜
看见恶魔 악마를 보았다,追击者,金福南杀人事件始末,不可饶恕,亲切的金子,邻居,,
