,title,director0,attr0,attr1,attr2,genre0,genre1,genre2,region0,lang0,ReleaseDate,rd0,rd1,rd2,rd3,rd4,rd5,rd6,rd7,rd8,rd9
73,忠犬八公物语 ハチ公物語,神山征二,山本圭,井川比佐志,片桐入,剧情,unknown,unknown,日本,日语,1987,忠犬八公的故事,迁徙的鸟,导盲犬小Q,帝企鹅日记,疯狂动物城,熊的故事,丛林赤子心,一条狗的使命,南极大冒险,多哥
74,喜宴 囍宴,李,赵文瑄,郎雄,归亚蕾,剧情,喜剧,爱情,中国台湾,国语,1993,推手,饮食男女,春光乍泄,断背山,蓝宇,谁先爱上他的,燃烧女子的肖像,每分钟120击,请以你的名字呼唤我,莫里斯
75,超脱 Detachment,托尼·凯,艾德里安·布洛迪,马西娅·盖伊·哈登,詹姆斯·肯恩,剧情,unknown,unknown,美国,英语,2011,一一,重庆森林,花样年华,阿飞正传,布达佩斯大饭店,爱在黎明破晓前,海上钢琴师,天使爱美丽,海边的曼彻斯特,霸王别姬
76,南海十三郎,高志,谢君豪,潘灿良,苏玉华,剧情,爱情,传记,中国香港,国语,1997,公民凯恩,阮玲玉,极速车王,末代皇帝,波西米亚狂想曲,剃头匠,达拉斯买家俱乐部,美丽心灵,跛豪,岁月风云之上海皇帝
77,绿皮书 Green Book,彼得·法雷,维果·莫腾森,马赫沙拉·阿里,琳达·卡德里尼,剧情,喜剧,音乐,美国,英语,2018,唐伯虎点秋香,九品芝麻官,功夫,喜剧之王,大话西游之月光宝盒,三傻大闹宝莱坞,海上钢琴师,疯狂动物城,波西米亚狂想曲,神偷奶爸
78,小森林 夏秋篇 リトル・フォレスト 夏・秋,森淳,桥本爱,三浦贵大,松冈茉优,剧情,unknown,unknown,日本,日语,2014,小森林 冬春篇,一一,重庆森林,花样年华,布达佩斯大饭店,爱在黎明破晓前,海街日记,天使爱美丽,海上钢琴师,甜蜜蜜
79,小森林 冬春篇 リトル・フォレスト 冬・春,森淳,桥本爱,三浦贵大,松冈茉优,剧情,unknown,unknown,日本,日语,2015,小森林 夏秋篇,一一,重庆森林,花样年华,布达佩斯大饭店,海街日记,爱在黎明破晓前,天使爱美丽,海上钢琴师,甜蜜蜜
80,教父3 The Godfather: Part III,弗朗西斯·福特·科波,阿尔·帕西诺,黛安·基顿,塔莉娅·夏尔,剧情,犯罪,unknown,美国,英语,1990,教父2,美国往事,猫鼠游戏,爱尔兰人,英雄本色,无间道2,上帝之城,低俗小说,新世界,黑社会
81,城南旧事,吴贻,沈洁,张丰毅,张闽,剧情,unknown,unknown,中国大陆,国语,1983,东京物语,一一,过年,推手,饮食男女,步履不停,那山那人那狗,三峡好人,海街日记,悲情城市
82,阳光灿烂的日子,姜,夏雨,宁静,陶虹,剧情,爱情,unknown,中国大陆,国语,1994,重庆森林,花样年华,一一,甜蜜蜜,阿飞正传,太阳照常升起,爱在黎明破晓前,罗马假日,天使爱美丽,东邪西毒
83,情书 Love Letter,岩井俊,中山美穗,丰川悦司,酒井美纪,剧情,爱情,unknown,日本,日语,1995,罗马假日,重庆森林,爱在黎明破晓前,花样年华,甜蜜蜜,天使爱美丽,恋恋笔记本,泰坦尼克号,傲慢与偏见,爱乐之城
84,我是山姆 I Am Sam,杰茜·尼尔,西恩·潘,达科塔·范宁,米歇尔·菲佛,剧情,家庭,unknown,美国,英语,2001,雨人,饮食男女,海蒂和爷爷,岁月神偷,海边的曼彻斯特,小偷家族,寻梦环游记,大鱼,何以为家,当幸福来敲门
85,西西里的美丽传说 Malèna,朱塞佩·托纳多,莫妮卡·贝鲁奇,朱塞佩·苏尔法罗,Luciano Federico,剧情,情色,战争,意大利,意大利语,2000,罗马假日,重庆森林,爱在黎明破晓前,泰坦尼克号,花样年华,甜蜜蜜,色，戒,恋恋笔记本,天使爱美丽,傲慢与偏见
86,禁闭岛 Shutter Island,马丁·斯科塞,莱昂纳多·迪卡普里奥,马克·鲁弗洛,本·金斯利,剧情,悬疑,惊悚,美国,英语,2010,记忆碎片,恐怖游轮,致命ID,看不见的客人,蝴蝶效应,七宗罪,穆赫兰道,第六感,控方证人,沉默的羔羊
87,甜蜜蜜,陈可,黎明,张曼玉,杨恭如,剧情,爱情,unknown,中国香港,国语,1996,花样年华,重庆森林,罗马假日,爱在黎明破晓前,阿飞正传,天使爱美丽,泰坦尼克号,情书,真爱至上,倩女幽魂
88,蝴蝶效应 The Butterfly Effect,埃里克·布雷,阿什顿·库彻,梅洛拉·沃尔特斯,艾米·斯马特,剧情,科幻,悬疑,美国,英语,2004,禁闭岛,致命魔术,盗梦空间,记忆碎片,恐怖游轮,源代码,看不见的客人,彗星来的那一夜,穆赫兰道,七宗罪
89,布达佩斯大饭店 The Grand Budapest Hotel,韦斯·安德,拉尔夫·费因斯,托尼·雷沃罗利,艾德里安·布洛迪,剧情,喜剧,冒险,美国,英语,2014,让子弹飞,疯狂的石头,两杆大烟枪,荒蛮故事,唐伯虎点秋香,驴得水,大佛普拉斯,低俗小说,功夫,一一
90,沉默的羔羊 The Silence of the Lambs,乔纳森·戴,朱迪·福斯特,安东尼·霍普金斯,斯科特·格伦,剧情,惊悚,犯罪,美国,英语,1991,七宗罪,致命ID,恐怖游轮,禁闭岛,汉尼拔,闪灵,记忆碎片,杀人回忆,第六感,电锯惊魂
