,title,director0,attr0,attr1,attr2,genre0,genre1,genre2,region0,lang0,ReleaseDate,rd0,rd1,rd2,rd3,rd4,rd5,rd6,rd7,rd8,rd9
71,星球大战 Star Wars,乔治·卢卡,哈里森·福特,马克·哈米尔,凯丽·费雪,动作,科幻,冒险,美国,英语,1977,星球大战2：帝国反击战,黑客帝国2：重装上阵,终结者,回到未来,2001太空漫游,侏罗纪公园,星际迷航,变形金刚,银翼杀手,E.T.外星人
72,罪恶之城 Sin City,弗兰克·米,杰西卡·阿尔芭,布鲁斯·威利斯,克里夫·欧文,动作,惊悚,犯罪,美国,英语,2005,美国X档案,杀死比尔,罪恶之城2,落水狗,天生杀人狂,搏击俱乐部,上帝之城,空中监狱,发条橙,出租车司机
73,天若有情,陈木,刘德华,吴倩莲,吴孟达,剧情,动作,爱情,中国香港,国语,1990,秋天的童话,阿郎的故事,旺角卡门,天若有情3烽火佳人,胭脂扣,甜蜜蜜,倩女幽魂2：人间道,烈火战车,花样年华,龙在江湖
74,红海行动,林超,张译,黄景瑜,海清,动作,战争,unknown,中国大陆,国语,2018,战狼2,血战钢锯岭,拯救大兵瑞恩,敦刻尔克,我和我的祖国,湄公河行动,1917,集结号,黑鹰坠落,穿条纹睡衣的男孩
75,暗花,游达,刘青云,梁朝伟,邵美琪,剧情,动作,悬疑,中国香港,国语,1998,黑社会,枪火,放·逐,黑金,一个字头的诞生,跛豪,机动部队,真心英雄,神探,喋血街头
76,黄飞鸿 黃飛鴻,徐,李连杰,元彪,关之琳,剧情,动作,武侠,中国香港,国语,1991,黄飞鸿之二：男儿当自强,太极张三丰,精武英雄,方世玉,笑傲江湖2：东方不败,倚天屠龙记之魔教教主,少林寺,新少林五祖,给爸爸的信,中南海保镖
77,老男孩 올드보이,朴赞,崔岷植,刘智泰,姜惠贞,剧情,动作,悬疑,韩国,韩语,2003,黄海,我要复仇,搏击俱乐部,杀人回忆,亲切的金子,追击者,记忆碎片,非常嫌疑犯,穆赫兰道,禁闭岛
78,盗火线 Heat,迈克尔·,阿尔·帕西诺,罗伯特·德尼罗,方·基默,剧情,动作,惊悚,美国,英语,1995,情枭的黎明,忠奸人,赌城风云,好家伙,疤面煞星,洛城机密,训练日,热天午后,美国黑帮,勇闯夺命岛
79,铁甲钢拳 Real Steel,肖恩·利,休·杰克曼,达科塔·高尤,凯文·杜兰,剧情,动作,科幻,美国,英语,2011,我，机器人,变形金刚,明日边缘,黑客帝国2：重装上阵,终结者2：审判日,我是传奇,猩球崛起,X战警：逆转未来,钢铁侠,复仇者联盟
80,王牌对王牌 The Negotiator,F·加里·格,塞缪尔·杰克逊,凯文·史派西,大卫·摩斯,剧情,动作,悬疑,美国,英语,1998,洛城机密,非常嫌疑犯,火柴人,一级恐惧,大卫·戈尔的一生,局内人,守法公民,十一罗汉,空中监狱,追随
