,title,director0,attr0,attr1,attr2,genre0,genre1,genre2,region0,lang0,ReleaseDate,rd0,rd1,rd2,rd3,rd4,rd5,rd6,rd7,rd8,rd9
46,记忆碎片 Memento,克里斯托弗·诺,盖·皮尔斯,凯瑞-安·莫斯,乔·潘托里亚诺,剧情,悬疑,惊悚,美国,英语,2000,禁闭岛,致命魔术,穆赫兰道,恐怖游轮,非常嫌疑犯,追随,看不见的客人,七宗罪,蝴蝶效应,控方证人
47,洛城机密 L.A. Confidential,柯蒂斯·汉,凯文·史派西,罗素·克劳,盖·皮尔斯,剧情,悬疑,惊悚,美国,英语,1997,非常嫌疑犯,王牌对王牌,一级恐惧,大卫·戈尔的一生,追随,火柴人,记忆碎片,控方证人,天才瑞普利,老无所依
48,十二怒汉（电视版） Studio One: Twelve Angry Men,富兰克林·沙夫,罗伯特·卡明斯,法兰奇·汤恩,爱德华·阿诺德,剧情,悬疑,犯罪,美国,英语,1954,控方证人,十二怒汉,非常嫌疑犯,记忆碎片,看不见的客人,追随,禁闭岛,大卫·戈尔的一生,致命魔术,一级恐惧
49,战争之王 Lord of War,安德鲁·尼科,尼古拉斯·凯奇,布里吉特·莫伊纳汉,杰瑞德·莱托,剧情,犯罪,unknown,法国,法语,2005,拯救大兵瑞恩,黑鹰坠落,兵临城下,风语者,拆弹部队,集结号,钢琴家,1917,全金属外壳,血战钢锯岭
50,盲山,李,黄璐,杨幼安,贺运乐,剧情,犯罪,unknown,中国大陆,国语,2007,猫鼠游戏,杀人回忆,熔炉,可可西里,恐怖直播,追击者,暴裂无声,黄海,心迷宫,烈日灼心
51,四百击 Les quatre cents coups,弗朗索瓦·特吕,让-皮埃尔·利奥德,克莱尔·莫里耶,阿尔贝·雷米,剧情,犯罪,unknown,法国,法语,1959,法外之徒,处女泉,扒手,精疲力尽,偷自行车的人,杀手,狂人皮埃罗,钱,雌雄大盗,乡愁
52,疯狂的石头,宁,郭涛,刘桦,连晋,喜剧,犯罪,unknown,中国大陆,国语,2006,九品芝麻官,唐伯虎点秋香,疯狂的赛车,射雕英雄传之东成西就,功夫,国产凌凌漆,让子弹飞,食神,甲方乙方,鹿鼎记
53,英雄本色,吴宇,周润发,狄龙,张国荣,剧情,动作,犯罪,中国香港,国语,1986,英雄本色2,无间道,纵横四海,枪火,喋血双雄,教父3,暗战,美国往事,谍影重重3,变脸
54,燕尾蝶 スワロウテイル,岩井俊,恰拉,伊藤步,三上博史,剧情,犯罪,unknown,日本,日语,1996,梦旅人,一一,两生花,重庆森林,花与爱丽丝,蓝白红三部曲之蓝,花样年华,苏州河,关于莉莉周的一切,堕落天使
55,阳光普照 陽光普照,钟孟,陈以文,柯淑勤,巫建和,剧情,家庭,犯罪,中国台湾,国语,2019,孤味,对不起，我们错过了你,82年生的金智英,困在时间里的父亲,饮食男女,瀑布,婚姻故事,步履不停,如父如子,小偷家族
56,无耻混蛋 Inglourious Basterds,昆汀·塔伦蒂,布拉德·皮特,梅拉尼·罗兰,克里斯托弗·瓦尔兹,剧情,犯罪,unknown,德国,德语,2009,拯救大兵瑞恩,被解救的姜戈,黑鹰坠落,1917,兵临城下,战争之王,全金属外壳,钢琴家,鬼子来了,低俗小说
57,暗战 暗戰,杜琪,刘德华,刘青云,蒙嘉慧,剧情,动作,犯罪,中国香港,国语,1999,机动部队,无间道2,门徒,窃听风云,毒战,英雄本色,寒战,喋血双雄,勇闯夺命岛,精武英雄
58,猜火车 Trainspotting,丹尼·博伊,伊万·麦克格雷格,艾文·布莱纳,约翰尼·李·米勒,剧情,犯罪,unknown,英国,英语,1996,两杆大烟枪,低俗小说,梦之安魂曲,猜火车2,猫鼠游戏,偷拐抢骗,落水狗,末路狂花,老无所依,出租车司机
59,发条橙 A Clockwork Orange,斯坦利·库布里,马尔科姆·麦克道威尔,帕特里克·马基,迈克尔·贝茨,剧情,科幻,犯罪,英国,英语,1971,末路狂花,出租车司机,搏击俱乐部,落水狗,上帝之城,天生杀人狂,杀死比尔,被解救的姜戈,低俗小说,猫鼠游戏
60,撞车 Crash,保罗·哈吉,桑德拉·布洛克,唐·钱德尔,马特·狄龙,剧情,犯罪,unknown,美国,英语,2004,猫鼠游戏,老无所依,洛城机密,非常嫌疑犯,七宗罪,杀人回忆,香水,上帝之城,血钻,大卫·戈尔的一生
61,花火 HANA-BI,北野,北野武,岸本加世子,大杉涟,剧情,爱情,惊悚,日本,日语,1997,那年夏天，宁静的海,奏鸣曲,重庆森林,凶暴的男人,花样年华,堕落天使,大佬,独立时代,蓝白红三部曲之蓝,精疲力尽
62,八恶人 The Hateful Eight,昆汀·塔伦蒂,塞缪尔·杰克逊,库尔特·拉塞尔,詹妮弗·杰森·李,剧情,犯罪,西部,美国,英语,2015,被解救的姜戈,落水狗,低俗小说,无耻混蛋,两杆大烟枪,偷拐抢骗,杀死比尔,出租车司机,荒蛮故事,巴斯特·斯克鲁格斯的歌谣
63,非常嫌疑犯 The Usual Suspects,布莱恩·辛,史蒂芬·鲍德温,加布里埃尔·伯恩,本尼西奥·德尔·托罗,悬疑,惊悚,犯罪,德国,德语,1995,记忆碎片,洛城机密,追随,一级恐惧,大卫·戈尔的一生,控方证人,七宗罪,穆赫兰道,王牌对王牌,禁闭岛
64,金福南杀人事件始末 김복남 살인사건의 전말,张哲,徐英姬,池成媛,朴政学,剧情,惊悚,犯罪,韩国,韩语,2010,追击者,黄海,看见恶魔,杀人回忆,我要复仇,亲切的金子,猫鼠游戏,蒙太奇,电锯惊魂,恐怖直播
65,误杀瞒天记 Drishyam,尼西卡特·卡马,阿贾耶·德乌干,塔布,施芮娅·萨兰,剧情,悬疑,犯罪,印度,印地语,2015,看不见的客人,利刃出鞘,网络谜踪,控方证人,特工,杀人回忆,调音师,记忆碎片,蒙太奇,我是谁：没有绝对安全的系统
66,大卫·戈尔的一生 The Life of David Gale,艾伦·帕,凯文·史派西,凯特·温丝莱特,劳拉·琳妮,剧情,悬疑,犯罪,美国,英语,2003,非常嫌疑犯,追随,一级恐惧,记忆碎片,控方证人,洛城机密,看不见的客人,禁闭岛,穆赫兰道,七宗罪
67,热天午后 Dog Day Afternoon,西德尼·吕美,阿尔·帕西诺,约翰·凯泽尔,查尔斯·德恩,剧情,喜剧,犯罪,美国,英语,1975,冰血暴,情枭的黎明,骗中骗,疤面煞星,老无所依,洛城机密,出租车司机,落水狗,偷拐抢骗,好家伙
68,阿飞正传 阿飛正傳,王家,张国荣,张曼玉,刘嘉玲,剧情,爱情,犯罪,中国香港,国语,1990,花样年华,重庆森林,堕落天使,甜蜜蜜,2046,胭脂扣,东邪西毒,爱在黎明破晓前,春光乍泄,罗马假日
69,十二怒汉 12 Angry Men,威廉·弗莱德,考特尼·万斯,奥西·戴维斯,乔治·C·斯科特,剧情,犯罪,unknown,美国,英语,1997,控方证人,十二怒汉（电视版）,十二怒汉,非常嫌疑犯,记忆碎片,猫鼠游戏,看不见的客人,七宗罪,追随,杀人回忆
70,精英部队2：大敌当前 Tropa de Elite 2 - O Inimigo Agora É Outro,何塞·帕迪里,瓦格纳·马拉,安德烈·拉米罗,米尔黑·考塔兹,剧情,动作,惊悚,巴西,葡萄牙语,2010,精英部队,王牌对王牌,洛城机密,飓风营救,盗火线,训练日,勇闯夺命岛,上帝之城,黑社会,枪火
