,title,director0,attr0,attr1,attr2,genre0,genre1,genre2,region0,lang0,ReleaseDate,rd0,rd1,rd2,rd3,rd4,rd5,rd6,rd7,rd8,rd9
36,重庆森林 重慶森林,王家,林青霞,金城武,梁朝伟,剧情,爱情,unknown,中国香港,国语,1994,花样年华,甜蜜蜜,罗马假日,爱在黎明破晓前,堕落天使,阿飞正传,2046,天使爱美丽,春光乍泄,东邪西毒
37,倩女幽魂,程小,张国荣,王祖贤,午马,爱情,奇幻,武侠,中国香港,国语,1987,倩女幽魂2：人间道,罗马假日,青蛇,泰坦尼克号,甜蜜蜜,大话西游之月光宝盒,重庆森林,花样年华,东邪西毒,剪刀手爱德华
38,断背山 Brokeback Mountain,李,希斯·莱杰,杰克·吉伦哈尔,米歇尔·威廉姆斯,剧情,爱情,同性,美国,英语,2005,春光乍泄,蓝宇,喜宴,请以你的名字呼唤我,罗马假日,爱在黎明破晓前,泰坦尼克号,恋恋笔记本,重庆森林,霸王别姬
39,爱在黎明破晓前 Before Sunrise,理查德·林克莱,伊桑·霍克,朱莉·德尔佩,安德莉亚·埃克特,剧情,爱情,unknown,美国,英语,1995,爱在日落黄昏时,罗马假日,恋恋笔记本,重庆森林,花样年华,甜蜜蜜,傲慢与偏见,爱乐之城,天使爱美丽,真爱至上
40,时空恋旅人 About Time,理查德·柯蒂,多姆纳尔·格里森,瑞秋·麦克亚当斯,比尔·奈伊,喜剧,爱情,奇幻,英国,英语,2013,恋恋笔记本,爱在黎明破晓前,罗马假日,真爱至上,泰坦尼克号,爱乐之城,傲慢与偏见,重庆森林,天使爱美丽,大话西游之月光宝盒
41,老友记重聚特辑 Friends: The Reunion,本·温斯,詹妮弗·安妮斯顿,柯特妮·考克斯,马修·派瑞,喜剧,爱情,unknown,美国,英语,2021,老友记25周年：周年纪念,爱情神话,真爱至上,祝你好运，里奥·格兰德,摩登家庭：摩登式告别,法兰西特派,爱在日落黄昏时,花束般的恋爱,失控玩家,三傻大闹宝莱坞
42,幸福终点站 The Terminal,史蒂文·斯皮尔伯,汤姆·汉克斯,凯瑟琳·泽塔-琼斯,斯坦利·图齐,剧情,喜剧,爱情,美国,英语,2004,唐伯虎点秋香,喜剧之王,九品芝麻官,大话西游之月光宝盒,射雕英雄传之东成西就,罗马假日,三傻大闹宝莱坞,功夫,真爱至上,恋恋笔记本
43,东邪西毒：终极版 東邪西毒終極版,王家,张国荣,林青霞,梁朝伟,剧情,动作,爱情,中国香港,国语,2008,东邪西毒,花样年华,重庆森林,胭脂扣,2046,堕落天使,阿飞正传,甜蜜蜜,金枝玉叶,倩女幽魂2：人间道
44,燃情岁月 Legends of the Fall,爱德华·兹威,布拉德·皮特,安东尼·霍普金斯,艾丹·奎因,剧情,爱情,战争,美国,英语,1994,罗马假日,魂断蓝桥,爱在日落黄昏时,英国病人,恋恋笔记本,甜蜜蜜,卡萨布兰卡,大河恋,廊桥遗梦,朗读者
45,唐伯虎点秋香 唐伯虎點秋香,李力,周星驰,巩俐,陈百祥,喜剧,爱情,古装,中国香港,国语,1993,九品芝麻官,功夫,射雕英雄传之东成西就,食神,国产凌凌漆,喜剧之王,鹿鼎记,逃学威龙,大话西游之月光宝盒,整蛊专家
46,魂断蓝桥 Waterloo Bridge,茂文·勒鲁,费雯·丽,罗伯特·泰勒,露塞尔·沃特森,剧情,爱情,战争,美国,英语,1940,罗马假日,卡萨布兰卡,乱世佳人,人鬼情未了,爱在日落黄昏时,甜蜜蜜,恋恋笔记本,蒂凡尼的早餐,廊桥遗梦,花样年华
47,千年女优 千年女優,今,庄司美代子,小山茉美,折笠富美子,剧情,爱情,动画,日本,日语,2001,东京教父,红辣椒,未麻的部屋,幽灵公主,回忆三部曲,红猪,风之谷,天空之城,攻壳机动队,夏日大作战
48,花样年华 花樣年華,王家,梁朝伟,张曼玉,潘迪华,剧情,爱情,unknown,中国香港,国语,2000,重庆森林,甜蜜蜜,2046,阿飞正传,罗马假日,爱在黎明破晓前,堕落天使,胭脂扣,春光乍泄,天使爱美丽
49,剪刀手爱德华 Edward Scissorhands,蒂姆·波,约翰尼·德普,薇诺娜·瑞德,黛安·韦斯特,剧情,爱情,奇幻,美国,英语,1990,罗马假日,哈尔的移动城堡,泰坦尼克号,恋恋笔记本,天空之城,爱在黎明破晓前,天使爱美丽,重庆森林,甜蜜蜜,机器人总动员
