盗火线 Heat,情枭的黎明,忠奸人,赌城风云,好家伙,疤面煞星,洛城机密,,
爱在黎明破晓前,,,,,,,,
王牌对王牌 The Negotiator,洛城机密,一级恐惧,空中监狱,,,,,
不可饶恕,赌城风云,,,,,,,
好家伙 GoodFellas,赌城风云,疤面煞星,情枭的黎明,忠奸人,美国往事,教父3,盗火线,
低俗小说,好家伙,疤面煞星,美国X档案,末路狂花,,,,
美国X档案,天生杀人狂,搏击俱乐部,空中监狱,,,,,
美国X档案 American History X,洛城机密,搏击俱乐部,一级恐惧,,,,,
低俗小说,,,,,,,,
搏击俱乐部,低俗小说,,,,,,,
情枭的黎明 Carlito's Way,疤面煞星,忠奸人,赌城风云,好家伙,铁面无私,盗火线,教父3,布朗克斯的故事
冰血暴,沉默的羔羊,洛城机密,七宗罪,不可饶恕,,,,
超时空接触,,,,,,,,
空中监狱,,,,,,,,
低俗小说,,,,,,,,
沉默的羔羊,,,,,,,,
一级恐惧,洛城机密,,,,,,,
泰坦尼克号,爱在黎明破晓前,,,,,,,
教父3,,,,,,,,
危情十日 Misery,,,,,,,,
水牛城66 Buffalo '66,天堂陌影,,,,,,,
一级恐惧,,,,,,,,
危险关系,低俗小说,,,,,,,
空中监狱 Con Air,空军一号,国家公敌,,,,,,
洛城机密,,,,,,,,
天才瑞普利 The Talented Mr. Ripley,一级恐惧,洛城机密,王牌对王牌,,,,,
王牌对王牌,洛城机密,一级恐惧,天才瑞普利,七宗罪,,,,
爱在黎明破晓前,,,,,,,,
疤面煞星 Scarface,情枭的黎明,忠奸人,好家伙,赌城风云,教父3,盗火线,美国往事,
空军一号,空中监狱,国家公敌,,,,,,
搏击俱乐部,,,,,,,,
七宗罪,一级恐惧,,,,,,,
英国病人,,,,,,,,
洛城机密,一级恐惧,,,,,,,
当哈利遇到莎莉,,,,,,,,
喜剧之王,,,,,,,,
雨人,,,,,,,,
空军一号,空中监狱,国家公敌,,,,,,
泰坦尼克号,,,,,,,,
疤面煞星,好家伙,情枭的黎明,,,,,,
空中监狱,,,,,,,,
一级恐惧,洛城机密,,,,,,,
追梦赤子心,,,,,,,,
赌城风云 Casino,好家伙,情枭的黎明,疤面煞星,忠奸人,铁面无私,盗火线,,
末路狂花,一级恐惧,天才瑞普利,,,,,,
华尔街 Wall Street,洛城机密,赌城风云,王牌对王牌,,,,,
我自己的爱达荷,,,,,,,,
王牌对王牌,洛城机密,一级恐惧,,,,,,
处刑人 The Boondock Saints,美国X档案,天生杀人狂,,,,,,
末路狂花,,,,,,,,
冰血暴,不可饶恕,洛城机密,,,,,,
男孩别哭 Boys Don't Cry,高潮艺术,,,,,,,
边缘日记 The Basketball Diaries,末路狂花,,,,,,,
一级恐惧,心理游戏,七宗罪,王牌对王牌,,,,,
冰血暴 Fargo,血迷宫,洛城机密,美国X档案,末路狂花,,,,
空中监狱,王牌对王牌,,,,,,,
盗火线,空中监狱,王牌对王牌,洛城机密,,,,,
低俗小说,,,,,,,,
超时空接触,,,,,,,,
七宗罪,,,,,,,,
天生杀人狂 Natural Born Killers,末路狂花,美国X档案,搏击俱乐部,,,,,
亡命天涯,,,,,,,,
盗火线,洛城机密,王牌对王牌,,,,,,
星尘往事,解构爱情狂,,,,,,,
疤面煞星,好家伙,,,,,,,
